ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
18885,malefactor,NN,3,"0,2,1",{(male)(fact)>or>},66.6666666666666,7,68630,70.8333333333333,25,364953,75,289,937614,2,9.60E-06,0.001390390854318
18886,malefactors,NN,3,"0,2,1",{(male)(fact)>or>},66.6666666666666,7,68630,70.8333333333333,25,364953,75,289,937614,2,9.60E-06,0.001390390854318
19004,manicurists,NN,3,"0,2,1",{(mani)(cure)}>ist>,100,5,62531,70,11,13857,73.5357917570498,462,382916,3,6.27E-05,0.003707708944848
19051,manservants,NN,3,"0,2,1",{(man)}{(serve)}>ant>,69.5238095238095,211,300379,78.5714285714285,43,651056,79.4816414686825,464,1534593,3,7.82E-06,0.001853854472424
19130,loggerheads,NN,3,"0,2,1",{(log)}>er>{(head)},78.03738317757,215,380513,56.92916849978,2274,4569119,3.55E-05,0.025027035377723,69.0721649484536,98,230581,4
19180,longwindedly,RB,3,"0,2,1",{(long)}{(wind)}>ly>,89.4736842105263,39,364660,91.1764705882352,35,40204,70.9354504659993,2898,3857999,2,4.48E-05,0.026726401977445
19181,longwindedness,NN,3,"0,2,1",{(long)}{(wind)}>ness>,86.8421052631579,39,364660,85.2941176470588,35,40204,45.8132045088566,1243,181553,4,0.000583851547482,0.016375714506411
19197,loonybins,NN,3,"0,2,1",{(loon)>y>}{(bin)},75,5,2472,56.9416498993963,2486,3870233,4.99E-05,0.029816159431485,87.5,9,39485,3
19248,loudhailer,NN,3,"0,2,1",{(loud)}{(hail)}>er>,87.5,9,19201,100,4,4432,74.307083150022,2274,4569119,2,3.55E-05,0.025027035377723
19249,loudhailers,NN,3,"0,2,1",{(loud)}{(hail)}>er>,87.5,9,19201,100,4,4432,74.307083150022,2274,4569119,2,3.55E-05,0.025027035377723
19281,loverlike,VB|NN|JJ,3,"0,2,1",{(love)}>er>{(like)},89.4736842105263,20,232269,87.1975362956445,2274,4569119,3.55E-05,0.025027035377723,69.8630136986301,74,1232275,4
19295,lowlander,NN,3,"0,2,1",{(low)}(land)>er>,64.2857142857142,15,156314,75.8620689655172,59,140623,61.2846458424989,2274,4569119,2,3.55E-05,0.025027035377723
19296,lowlanders,NN,3,"0,2,1",{(low)}(land)>er>,64.2857142857142,15,156314,75.8620689655172,59,140623,61.2846458424989,2274,4569119,2,3.55E-05,0.025027035377723
19369,lukewarmly,RB,3,"0,2,1",{(luke)(warm)}>ly>,100,4,13382,100,14,29760,86.8829823955816,2898,3857999,2,4.48E-05,0.026726401977445
19370,lukewarmness,NN,3,"0,2,1",{(luke)(warm)}>ness>,66.6666666666666,4,13382,92.3076923076923,14,29760,62.5603864734299,1243,181553,4,0.000583851547482,0.016375714506411
19648,lightweights,NN,3,"0,2,1",{(light)}{(weigh)>t>},22.7272727272727,45,176000,8.69565217391304,24,56346,18.75,49,133535,1,2.25E-05,0.000463463618106
19708,linertrain,NN|VB,3,"0,2,1",{(line)}>er>{(train)},96.8253968253968,64,426769,87.1975362956445,2274,4569119,3.55E-05,0.025027035377723,92.3076923076923,14,106738,5
19709,linertrains,NN|VB,3,"0,2,1",{(line)}>er>{(train)},96.8253968253968,64,426769,87.1975362956445,2274,4569119,3.55E-05,0.025027035377723,92.3076923076923,14,106738,5
19794,lithographic,JJ,3,"0,2,1",{(litho)(graph)>ic>},75,5,626,69.5652173913043,116,198105,65.1530108588351,1014,1472797,2,2.78E-05,0.006334002780782
19860,lobotomies,NN,3,"0,2,1",{(lobe)(tom)>y>},16.6666666666666,7,3174,14.2857142857142,15,67254,15.2515090543259,2486,3870233,1,4.99E-05,0.029816159431485
19967,latecomers,NN,3,"0,2,1",{(late)}{(come)}>er>,100,8,230285,81.25,17,497021,44.6546414430268,2274,4569119,2,3.55E-05,0.025027035377723
